race_id,date,region,course,course_id,off,off_dt,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_y,dist_m,dist_f,going,surface,jumps,winning_time_detail,comments,non_runners,tote_win,tote_pl,tote_ex,tote_csf,tote_tricast,tote_trifecta,horse_id,horse,sp,sp_dec,number,position,draw,btn,ovr_btn,age,sex,weight,weight_lbs,headgear,time,or,rpr,tsr,prize,jockey,jockey_claim_lbs,jockey_id,trainer,trainer_id,owner,owner_id,sire,sire_id,dam,dam_id,damsire,damsire_id,comment,silk_url
rac_11686519,2025-07-30,GB,Leicester,crs_780,8:43,2025-07-30T20:43:00+01:00,Book Online For Best Deals leicester-racecourse.com Handicap,Flat,Class 5,,0-70,3yo,,1m2f,2200,2012.0,10f,Good,Turf,,2m 7.29s (slow by 3.29s),,,£2.88,£1.40 £2.10,£8.20,£12.57,,£29.70,hrs_40919431,Gloryous (IRE),15/8,2.88,1,1,2.0,0,0,3,F,10-0,140,,2:7.29,75,–,–,4187.20,William Carson,0,jky_254646,Jamie Osborne,trn_125595,Wayne Clifford,own_170744,Cotai Glory (GB),sir_6028834,Saikung (IRE),dam_15876770,Acclamation,dsi_3789198,Started quickly - took keen hold - made all - increased tempo from over 2f out - kept on well when pushed along and clear inside final furlong - readily(op 7/4 tchd 9/4),https://www.rp-assets.com/svg/6/8/6/42686.svg
rac_11686519,2025-07-30,GB,Leicester,crs_780,8:43,2025-07-30T20:43:00+01:00,Book Online For Best Deals leicester-racecourse.com Handicap,Flat,Class 5,,0-70,3yo,,1m2f,2200,2012.0,10f,Good,Turf,,2m 7.29s (slow by 3.29s),,,£2.88,£1.40 £2.10,£8.20,£12.57,,£29.70,hrs_45255952,Hibernate (IRE),6/1,7.0,5,2,1.0,4,4,3,G,8-10,122,,2:7.96,62,–,–,1964.80,Mason Paetel,5,jky_312036,Ed Dunlop,trn_81324,La Grange Partnership,own_853312,Kodiac (GB),sir_4080139,Easy Times (GB),dam_6753915,Nayef,dsi_3659915,Took keen hold - disputing second - lost position 3f out - headway and went second over 1f out - no extra inside final furlong(tchd 13/2),https://www.rp-assets.com/svg/8/2/3/213328.svg
rac_11686519,2025-07-30,GB,Leicester,crs_780,8:43,2025-07-30T20:43:00+01:00,Book Online For Best Deals leicester-racecourse.com Handicap,Flat,Class 5,,0-70,3yo,,1m2f,2200,2012.0,10f,Good,Turf,,2m 7.29s (slow by 3.29s),,,£2.88,£1.40 £2.10,£8.20,£12.57,,£29.70,hrs_42073850,Veraison (IRE),12/1,13.0,2,3,4.0,.5,4.5,3,F,9-9,135,t,2:8.04,70,–,–,981.60,Benoit De La Sayette,0,jky_301920,Dr Richard Newland & Jamie Insole,trn_368685,Chris Stedman,own_587472,Sottsass (FR),sir_15245916,Up In Time (GB),dam_5335260,Noverre,dsi_3709314,Disputing fourth - raced in fourth 4f out - no chance with winner but stayed on and went third final strides(tchd 14/1),https://www.rp-assets.com/svg/8/6/8/146868.svg
rac_11686519,2025-07-30,GB,Leicester,crs_780,8:43,2025-07-30T20:43:00+01:00,Book Online For Best Deals leicester-racecourse.com Handicap,Flat,Class 5,,0-70,3yo,,1m2f,2200,2012.0,10f,Good,Turf,,2m 7.29s (slow by 3.29s),,,£2.88,£1.40 £2.10,£8.20,£12.57,,£29.70,hrs_53539451,Versailles Prince (GB),6/5F,2.2,3,4,5.0,0.2,4.75,3,G,9-9,135,,2:8.12,70,–,–,491.20,Billy Loughnane,0,jky_233301,Daniel & Claire Kubler,trn_338733,Miss Jennifer Dorey,own_680200,Frontiersman (GB),sir_6126946,Miss Minuty (GB),dam_5989942,Verglas,dsi_3126837,Disputing second - went second 3f out - lost position over 1f out - soon weakened gradually(op 11/10 tchd 10/11),https://www.rp-assets.com/svg/b/0/5/170050b.svg
rac_11686519,2025-07-30,GB,Leicester,crs_780,8:43,2025-07-30T20:43:00+01:00,Book Online For Best Deals leicester-racecourse.com Handicap,Flat,Class 5,,0-70,3yo,,1m2f,2200,2012.0,10f,Good,Turf,,2m 7.29s (slow by 3.29s),,,£2.88,£1.40 £2.10,£8.20,£12.57,,£29.70,hrs_45568474,Appleblossomwhite (IRE),14/1,15.0,4,5,3.0,1,5.75,3,F,9-3,129,v,2:8.25,64,–,–,244.80,Lewis Edmunds,0,jky_283989,Lemos De Souza,trn_379206,D De Souza,own_1110308,Soldier's Call (GB),sir_13020504,Esmaggie (GB),dam_33289046,Muhtathir,dsi_3276504,Disputing fourth - dropped to last 4f out - bit short of room 2f out - kept on but never dangerous(op 20/1 tchd 22/1),https://www.rp-assets.com/svg/7/7/5/277577.svg
rac_11686610,2025-07-30,GB,Sandown,crs_1404,8:30,2025-07-30T20:30:00+01:00,Chasemore Farm Handicap (A Jockey Club Grassroots Stayers Series Qualifier) (GBBPlus Race),Flat,Class 4,,0-80,3yo,,1m6f,3080,2816.0,14f,Good,Turf,,3m 9.90s (slow by 7.50s),,,£19,£3.80 £1.30,£56.80,£34.27,,£217.90,hrs_44166220,Scarlet Moon (GB),18/1,19.0,5,1,3.0,0,0,3,G,9-6,132,p,3:9.90,77,–,–,6019.10,Hollie Doyle,0,jky_278085,Archie Watson,trn_290484,Arbib Bloodstock Partnership,own_1430392,Sea The Moon (GER),sir_5927481,Star Rock (GB),dam_8294132,Fastnet Rock,dsi_4175850,Took keen hold - led - headed after 5f - soon led again - pushed along and clear over 2f out - reduced lead towards finish - stayed on(op 14/1 tchd 12/1),https://www.rp-assets.com/svg/8/9/5/357598.svg
rac_11686610,2025-07-30,GB,Sandown,crs_1404,8:30,2025-07-30T20:30:00+01:00,Chasemore Farm Handicap (A Jockey Club Grassroots Stayers Series Qualifier) (GBBPlus Race),Flat,Class 4,,0-80,3yo,,1m6f,3080,2816.0,14f,Good,Turf,,3m 9.90s (slow by 7.50s),,,£19,£3.80 £1.30,£56.80,£34.27,,£217.90,hrs_52236296,Valiancy (IRE),5/6F,1.83,1,2,4.0,1,1,3,G,9-10,136,,3:10.07,81,–,–,2824.40,Cieren Fallon,0,jky_295557,William Haggas,trn_30735,Wathnan Racing,own_1300352,Cracksman (GB),sir_8174257,Dromana (IRE),dam_15145949,Dutch Art,dsi_4618404,Held up in rear - hung left home turn - headway over 2f out - outpaced over 1f out - kept on well - no match for winner(op 8/11),https://www.rp-assets.com/svg/8/8/0/325088.svg
rac_11686610,2025-07-30,GB,Sandown,crs_1404,8:30,2025-07-30T20:30:00+01:00,Chasemore Farm Handicap (A Jockey Club Grassroots Stayers Series Qualifier) (GBBPlus Race),Flat,Class 4,,0-80,3yo,,1m6f,3080,2816.0,14f,Good,Turf,,3m 9.90s (slow by 7.50s),,,£19,£3.80 £1.30,£56.80,£34.27,,£217.90,hrs_45759504,Whatsgoingonmarvin (IRE),4/1,5.0,2,3,2.0,2.25,3.25,3,G,9-9,135,,3:10.44,80,–,–,1411.05,Shane Kelly,0,jky_41100,Sir Mark Prescott Bt,trn_603,N Boyden And C Harrold,own_1227108,Camelot (GB),sir_5493992,Cry Me A River (IRE),dam_6204681,Danehill Dancer,dsi_728077,Held up in rear - headway and in touch with leaders after 8f - not clear run over 3f out - switched left over 2f out - headway and went modest third over 1f out(op 5/1),https://www.rp-assets.com/svg/7/7/7/306777.svg
rac_11686610,2025-07-30,GB,Sandown,crs_1404,8:30,2025-07-30T20:30:00+01:00,Chasemore Farm Handicap (A Jockey Club Grassroots Stayers Series Qualifier) (GBBPlus Race),Flat,Class 4,,0-80,3yo,,1m6f,3080,2816.0,14f,Good,Turf,,3m 9.90s (slow by 7.50s),,,£19,£3.80 £1.30,£56.80,£34.27,,£217.90,hrs_52418212,Earnest Belief (IRE),11/1,12.0,3,4,1.0,3.75,7,3,C,9-7,133,p,3:11.07,78,–,–,706.10,Robert Havlin,0,jky_29508,John & Thady Gosden,trn_344619,Blackhurst Racing,own_1359248,Mastercraftsman (IRE),sir_4870369,Promise Me (IRE),dam_21714203,Montjeu,dsi_3521238,Pressed leader early - in touch with leaders after 2f - dropped to rear after 8f - switched right over 2f out - some headway and went modest fourth inside final furlong(op 17/2),https://www.rp-assets.com/svg/b/2/1/339812b.svg
rac_11686610,2025-07-30,GB,Sandown,crs_1404,8:30,2025-07-30T20:30:00+01:00,Chasemore Farm Handicap (A Jockey Club Grassroots Stayers Series Qualifier) (GBBPlus Race),Flat,Class 4,,0-80,3yo,,1m6f,3080,2816.0,14f,Good,Turf,,3m 9.90s (slow by 7.50s),,,£19,£3.80 £1.30,£56.80,£34.27,,£217.90,hrs_42715498,Personal Best (GB),6/1,7.0,4,5,5.0,1.25,8.25,3,F,9-7,133,,3:11.28,78,–,–,351.90,Rob Hornby,0,jky_278322,Jonathan Portman,trn_113409,Hot To Trot 1 Mrs R Pease,own_1400092,Time Test (GB),sir_5957938,Spring Run (GB),dam_16072973,Nathaniel,dsi_5237701,Took keen hold - prominent - weakened over 1f out(op 17/2 tchd 9/1),https://www.rp-assets.com/svg/3/2/0/350023.svg
